date,year,week,municipaly,district,hash
24.12.2020,2020,52,Landeck,Landeck,568019458
24.12.2020,2020,52,Hainzenberg,Schwaz,479576250
24.12.2020,2020,52,Kufstein,Kufstein,206090667
24.12.2020,2020,52,Ainet,Lienz,1807343853
24.12.2020,2020,52,Oberperfuss,Innsbruck-Land,-308805182
24.12.2020,2020,52,Langkampfen,Kufstein,1848638787
23.12.2020,2020,52,Langkampfen,Kufstein,495989839
23.12.2020,2020,52,Tristach,Lienz,1768371667
23.12.2020,2020,52,Kössen,Kitzbühel,1385829732
23.12.2020,2020,52,Lienz,Lienz,-644366759
23.12.2020,2020,52,Scharnitz,Innsbruck-Land,1617692013
23.12.2020,2020,52,Zirl,Innsbruck-Land,-2110626668
23.12.2020,2020,52,Zams,Landeck,-1128671938
23.12.2020,2020,52,Brandenberg,Kufstein,-2000178119
23.12.2020,2020,52,Hopfgarten in Defereggen,Lienz,-717626495
23.12.2020,2020,52,Lienz,Lienz,-396915013
23.12.2020,2020,52,Scheffau am Wilden Kaiser,Kufstein,39746442
23.12.2020,2020,52,Jenbach,Schwaz,-511383245
23.12.2020,2020,52,Zell am Ziller,Schwaz,1065796954
23.12.2020,2020,52,Pflach,Reutte,1193367362
23.12.2020,2020,52,Elbigenalp,Reutte,-240143140
23.12.2020,2020,52,Mariastein,Kufstein,-1256182067
22.12.2020,2020,52,Innsbruck,Innsbruck-Stadt,945014420
22.12.2020,2020,52,St. Anton am Arlberg,Landeck,571563902
22.12.2020,2020,52,Lienz,Lienz,-560939045
22.12.2020,2020,52,Ehrwald,Reutte,1164292095
22.12.2020,2020,52,Längenfeld,Imst,-179319039
22.12.2020,2020,52,Schwaz,Schwaz,1216508509
22.12.2020,2020,52,Kramsach,Kufstein,1386731043
22.12.2020,2020,52,Kirchbichl,Kufstein,711088853
22.12.2020,2020,52,Fließ,Landeck,1263495362
22.12.2020,2020,52,Zell am Ziller,Schwaz,-387599008
22.12.2020,2020,52,Kufstein,Kufstein,-1857588697
22.12.2020,2020,52,Aurach bei Kitzbühel,Kitzbühel,919316754
22.12.2020,2020,52,Wattens,Innsbruck-Land,-1220926248
22.12.2020,2020,52,Kufstein,Kufstein,-1789060251
22.12.2020,2020,52,Haiming,Imst,-969316022
21.12.2020,2020,52,Itter,Kitzbühel,335940751
21.12.2020,2020,52,Lienz,Lienz,-467503922
21.12.2020,2020,52,Baumkirchen,Innsbruck-Land,988313548
21.12.2020,2020,52,Ebbs,Kufstein,568242708
21.12.2020,2020,52,St. Johann in Tirol,Kitzbühel,216289791
21.12.2020,2020,52,Virgen,Lienz,-1473350002
21.12.2020,2020,52,Bad Häring,Kufstein,-1246616270
21.12.2020,2020,52,Wattens,Innsbruck-Land,-1561113626
21.12.2020,2020,52,Matrei in Osttirol,Lienz,-1489152672
20.12.2020,2020,51,Amlach,Lienz,-2099887678
20.12.2020,2020,51,Nußdorf-Debant,Lienz,-1479216117
20.12.2020,2020,51,Westendorf,Kitzbühel,-1464380215
20.12.2020,2020,51,Landeck,Landeck,1194453655
20.12.2020,2020,51,Landeck,Landeck,2111173044
20.12.2020,2020,51,Schwendau,Schwaz,-1886661432
20.12.2020,2020,51,Hall in Tirol,Innsbruck-Land,1978991718
20.12.2020,2020,51,Tarrenz,Imst,622986752
20.12.2020,2020,51,Kirchdorf in Tirol,Kitzbühel,-1787594912
20.12.2020,2020,51,Seefeld in Tirol,Innsbruck-Land,-84877101
20.12.2020,2020,51,Zirl,Innsbruck-Land,1384882044
20.12.2020,2020,51,Schwendau,Schwaz,-1433569288
20.12.2020,2020,51,Landeck,Landeck,-275694618
20.12.2020,2020,51,Langkampfen,Kufstein,-538638319
20.12.2020,2020,51,Lienz,Lienz,2074258548
20.12.2020,2020,51,Münster,Kufstein,429343531
20.12.2020,2020,51,Innsbruck,Innsbruck-Stadt,-174484988
20.12.2020,2020,51,Innsbruck,Innsbruck-Stadt,-1757335779
20.12.2020,2020,51,Innsbruck,Innsbruck-Stadt,-511358253
20.12.2020,2020,51,Innsbruck,Innsbruck-Stadt,1181939928
19.12.2020,2020,51,Fließ,Landeck,-921953727
19.12.2020,2020,51,Schönwies,Landeck,-1437976058
19.12.2020,2020,51,Landeck,Landeck,-941900448
19.12.2020,2020,51,Haiming,Imst,1760693991
19.12.2020,2020,51,Steinach am Brenner,Innsbruck-Land,1663345122
19.12.2020,2020,51,Schwoich,Kufstein,746825716
19.12.2020,2020,51,Bad Häring,Kufstein,1833814709
19.12.2020,2020,51,Schwendau,Schwaz,1130242435
19.12.2020,2020,51,Rohrberg,Schwaz,-2139844871
19.12.2020,2020,51,Zell am Ziller,Schwaz,-1337740989
19.12.2020,2020,51,Alpbach,Kufstein,-388608078
19.12.2020,2020,51,Schwaz,Schwaz,-677669243
19.12.2020,2020,51,Mils,Innsbruck-Land,-1727412440
19.12.2020,2020,51,Oetz,Imst,-2055144848
19.12.2020,2020,51,Imst,Imst,-1777562414
19.12.2020,2020,51,Roppen,Imst,-717817975
19.12.2020,2020,51,Trins,Innsbruck-Land,775290531
19.12.2020,2020,51,Oetz,Imst,-1030198612
19.12.2020,2020,51,Thiersee,Kufstein,505788126
19.12.2020,2020,51,Breitenbach am Inn,Kufstein,-1985656550
18.12.2020,2020,51,Ehrwald,Reutte,708194615
18.12.2020,2020,51,St. Johann in Tirol,Kitzbühel,1705595243
18.12.2020,2020,51,Kufstein,Kufstein,-71085625
18.12.2020,2020,51,Kufstein,Kufstein,216848083
18.12.2020,2020,51,Fulpmes,Innsbruck-Land,1903298658
18.12.2020,2020,51,Breitenwang,Reutte,419863526
18.12.2020,2020,51,Innsbruck,Innsbruck-Stadt,1134169306
18.12.2020,2020,51,Jerzens,Imst,1665215182
18.12.2020,2020,51,Kufstein,Kufstein,-511370150
17.12.2020,2020,51,Zirl,Innsbruck-Land,-775217442
17.12.2020,2020,51,Stummerberg,Schwaz,-183540923
17.12.2020,2020,51,Trins,Innsbruck-Land,-178965156
17.12.2020,2020,51,Vils,Reutte,1369732393
17.12.2020,2020,51,Radfeld,Kufstein,-557925278
17.12.2020,2020,51,Karres,Imst,-1121144122
17.12.2020,2020,51,Kirchbichl,Kufstein,-3234452
17.12.2020,2020,51,Prutz,Landeck,-278106527
17.12.2020,2020,51,Thiersee,Kufstein,-1095660726
17.12.2020,2020,51,Landeck,Landeck,-886081382
17.12.2020,2020,51,Thiersee,Kufstein,1633061142
17.12.2020,2020,51,Umhausen,Imst,252388540
17.12.2020,2020,51,Mühlbachl,Innsbruck-Land,-1851103079
17.12.2020,2020,51,Jenbach,Schwaz,-1318653563
17.12.2020,2020,51,Hopfgarten im Brixental,Kitzbühel,-952144826
17.12.2020,2020,51,Kitzbühel,Kitzbühel,119941025
17.12.2020,2020,51,Kufstein,Kufstein,1700459019
17.12.2020,2020,51,St. Johann in Tirol,Kitzbühel,330556823
17.12.2020,2020,51,Kufstein,Kufstein,1658664360
17.12.2020,2020,51,Innsbruck,Innsbruck-Stadt,-1329749801
16.12.2020,2020,51,Thiersee,Kufstein,804426929
16.12.2020,2020,51,Kirchbichl,Kufstein,-1334513012
16.12.2020,2020,51,Sillian,Lienz,-855270147
16.12.2020,2020,51,Ehenbichl,Reutte,-679231258
16.12.2020,2020,51,Kitzbühel,Kitzbühel,-134453782
16.12.2020,2020,51,Assling,Lienz,216848083
16.12.2020,2020,51,Gries am Brenner,Innsbruck-Land,-962811107
16.12.2020,2020,51,Leisach,Lienz,47824221
16.12.2020,2020,51,Musau,Reutte,1129936964
16.12.2020,2020,51,Mühlbachl,Innsbruck-Land,1678689694
15.12.2020,2020,51,Kirchberg in Tirol,Kitzbühel,808421289
15.12.2020,2020,51,Neustift im Stubaital,Innsbruck-Land,800718648
15.12.2020,2020,51,Lienz,Lienz,-883227979
15.12.2020,2020,51,Wörgl,Kufstein,895007155
15.12.2020,2020,51,St. Johann in Tirol,Kitzbühel,-298460764
