district,municipaly,year,week,count
Innsbruck-Land,Oberperfuss,2017,1,0
Innsbruck-Land,Oberperfuss,2017,2,0
Innsbruck-Land,Oberperfuss,2017,3,0
Innsbruck-Land,Oberperfuss,2017,4,0
Innsbruck-Land,Oberperfuss,2017,5,1
Innsbruck-Land,Oberperfuss,2017,6,0
Innsbruck-Land,Oberperfuss,2017,7,0
Innsbruck-Land,Oberperfuss,2017,8,0
Innsbruck-Land,Oberperfuss,2017,9,0
Innsbruck-Land,Oberperfuss,2017,10,0
Innsbruck-Land,Oberperfuss,2017,11,0
Innsbruck-Land,Oberperfuss,2017,12,1
Innsbruck-Land,Oberperfuss,2017,13,0
Innsbruck-Land,Oberperfuss,2017,14,1
Innsbruck-Land,Oberperfuss,2017,15,0
Innsbruck-Land,Oberperfuss,2017,16,0
Innsbruck-Land,Oberperfuss,2017,17,0
Innsbruck-Land,Oberperfuss,2017,18,0
Innsbruck-Land,Oberperfuss,2017,19,0
Innsbruck-Land,Oberperfuss,2017,20,0
Innsbruck-Land,Oberperfuss,2017,21,0
Innsbruck-Land,Oberperfuss,2017,22,0
Innsbruck-Land,Oberperfuss,2017,23,0
Innsbruck-Land,Oberperfuss,2017,24,0
Innsbruck-Land,Oberperfuss,2017,25,0
Innsbruck-Land,Oberperfuss,2017,26,0
Innsbruck-Land,Oberperfuss,2017,27,0
Innsbruck-Land,Oberperfuss,2017,28,0
Innsbruck-Land,Oberperfuss,2017,29,0
Innsbruck-Land,Oberperfuss,2017,30,0
Innsbruck-Land,Oberperfuss,2017,31,0
Innsbruck-Land,Oberperfuss,2017,32,0
Innsbruck-Land,Oberperfuss,2017,33,1
Innsbruck-Land,Oberperfuss,2017,34,2
Innsbruck-Land,Oberperfuss,2017,35,0
Innsbruck-Land,Oberperfuss,2017,36,0
Innsbruck-Land,Oberperfuss,2017,37,1
Innsbruck-Land,Oberperfuss,2017,38,0
Innsbruck-Land,Oberperfuss,2017,39,1
Innsbruck-Land,Oberperfuss,2017,40,0
Innsbruck-Land,Oberperfuss,2017,41,0
Innsbruck-Land,Oberperfuss,2017,42,0
Innsbruck-Land,Oberperfuss,2017,43,1
Innsbruck-Land,Oberperfuss,2017,44,0
Innsbruck-Land,Oberperfuss,2017,45,0
Innsbruck-Land,Oberperfuss,2017,46,0
Innsbruck-Land,Oberperfuss,2017,47,0
Innsbruck-Land,Oberperfuss,2017,48,0
Innsbruck-Land,Oberperfuss,2017,49,0
Innsbruck-Land,Oberperfuss,2017,50,1
Innsbruck-Land,Oberperfuss,2017,51,0
Innsbruck-Land,Oberperfuss,2017,52,1
Innsbruck-Land,Oberperfuss,2018,1,0
Innsbruck-Land,Oberperfuss,2018,2,1
Innsbruck-Land,Oberperfuss,2018,3,1
Innsbruck-Land,Oberperfuss,2018,4,0
Innsbruck-Land,Oberperfuss,2018,5,1
Innsbruck-Land,Oberperfuss,2018,6,0
Innsbruck-Land,Oberperfuss,2018,7,0
Innsbruck-Land,Oberperfuss,2018,8,0
Innsbruck-Land,Oberperfuss,2018,9,0
Innsbruck-Land,Oberperfuss,2018,10,0
Innsbruck-Land,Oberperfuss,2018,11,1
Innsbruck-Land,Oberperfuss,2018,12,0
Innsbruck-Land,Oberperfuss,2018,13,0
Innsbruck-Land,Oberperfuss,2018,14,1
Innsbruck-Land,Oberperfuss,2018,15,1
Innsbruck-Land,Oberperfuss,2018,16,1
Innsbruck-Land,Oberperfuss,2018,17,0
Innsbruck-Land,Oberperfuss,2018,18,0
Innsbruck-Land,Oberperfuss,2018,19,0
Innsbruck-Land,Oberperfuss,2018,20,0
Innsbruck-Land,Oberperfuss,2018,21,0
Innsbruck-Land,Oberperfuss,2018,22,0
Innsbruck-Land,Oberperfuss,2018,23,0
Innsbruck-Land,Oberperfuss,2018,24,0
Innsbruck-Land,Oberperfuss,2018,25,1
Innsbruck-Land,Oberperfuss,2018,26,1
Innsbruck-Land,Oberperfuss,2018,27,0
Innsbruck-Land,Oberperfuss,2018,28,0
Innsbruck-Land,Oberperfuss,2018,29,1
Innsbruck-Land,Oberperfuss,2018,30,0
Innsbruck-Land,Oberperfuss,2018,31,2
Innsbruck-Land,Oberperfuss,2018,32,0
Innsbruck-Land,Oberperfuss,2018,33,0
Innsbruck-Land,Oberperfuss,2018,34,0
Innsbruck-Land,Oberperfuss,2018,35,0
Innsbruck-Land,Oberperfuss,2018,36,0
Innsbruck-Land,Oberperfuss,2018,37,0
Innsbruck-Land,Oberperfuss,2018,38,1
Innsbruck-Land,Oberperfuss,2018,39,1
Innsbruck-Land,Oberperfuss,2018,40,0
Innsbruck-Land,Oberperfuss,2018,41,1
Innsbruck-Land,Oberperfuss,2018,42,0
Innsbruck-Land,Oberperfuss,2018,43,0
Innsbruck-Land,Oberperfuss,2018,44,1
Innsbruck-Land,Oberperfuss,2018,45,0
Innsbruck-Land,Oberperfuss,2018,46,0
Innsbruck-Land,Oberperfuss,2018,47,0
Innsbruck-Land,Oberperfuss,2018,48,1
Innsbruck-Land,Oberperfuss,2018,49,0
Innsbruck-Land,Oberperfuss,2018,50,0
Innsbruck-Land,Oberperfuss,2018,51,1
Innsbruck-Land,Oberperfuss,2018,52,0
Innsbruck-Land,Oberperfuss,2019,1,0
Innsbruck-Land,Oberperfuss,2019,2,2
Innsbruck-Land,Oberperfuss,2019,3,1
Innsbruck-Land,Oberperfuss,2019,4,0
Innsbruck-Land,Oberperfuss,2019,5,1
Innsbruck-Land,Oberperfuss,2019,6,3
Innsbruck-Land,Oberperfuss,2019,7,0
Innsbruck-Land,Oberperfuss,2019,8,0
Innsbruck-Land,Oberperfuss,2019,9,1
Innsbruck-Land,Oberperfuss,2019,10,0
Innsbruck-Land,Oberperfuss,2019,11,1
Innsbruck-Land,Oberperfuss,2019,12,0
Innsbruck-Land,Oberperfuss,2019,13,0
Innsbruck-Land,Oberperfuss,2019,14,0
Innsbruck-Land,Oberperfuss,2019,15,1
Innsbruck-Land,Oberperfuss,2019,16,0
Innsbruck-Land,Oberperfuss,2019,17,0
Innsbruck-Land,Oberperfuss,2019,18,0
Innsbruck-Land,Oberperfuss,2019,19,0
Innsbruck-Land,Oberperfuss,2019,20,0
Innsbruck-Land,Oberperfuss,2019,21,0
Innsbruck-Land,Oberperfuss,2019,22,0
Innsbruck-Land,Oberperfuss,2019,23,0
Innsbruck-Land,Oberperfuss,2019,24,0
Innsbruck-Land,Oberperfuss,2019,25,3
Innsbruck-Land,Oberperfuss,2019,26,0
Innsbruck-Land,Oberperfuss,2019,27,0
Innsbruck-Land,Oberperfuss,2019,28,0
Innsbruck-Land,Oberperfuss,2019,29,1
Innsbruck-Land,Oberperfuss,2019,30,0
Innsbruck-Land,Oberperfuss,2019,31,0
Innsbruck-Land,Oberperfuss,2019,32,0
Innsbruck-Land,Oberperfuss,2019,33,2
Innsbruck-Land,Oberperfuss,2019,34,0
Innsbruck-Land,Oberperfuss,2019,35,0
Innsbruck-Land,Oberperfuss,2019,36,2
Innsbruck-Land,Oberperfuss,2019,37,0
Innsbruck-Land,Oberperfuss,2019,38,0
Innsbruck-Land,Oberperfuss,2019,39,0
Innsbruck-Land,Oberperfuss,2019,40,2
Innsbruck-Land,Oberperfuss,2019,41,0
Innsbruck-Land,Oberperfuss,2019,42,0
Innsbruck-Land,Oberperfuss,2019,43,0
Innsbruck-Land,Oberperfuss,2019,44,1
Innsbruck-Land,Oberperfuss,2019,45,0
Innsbruck-Land,Oberperfuss,2019,46,0
Innsbruck-Land,Oberperfuss,2019,47,1
Innsbruck-Land,Oberperfuss,2019,48,0
Innsbruck-Land,Oberperfuss,2019,49,1
Innsbruck-Land,Oberperfuss,2019,50,0
Innsbruck-Land,Oberperfuss,2019,51,1
Innsbruck-Land,Oberperfuss,2019,52,1
Innsbruck-Land,Oberperfuss,2020,1,0
Innsbruck-Land,Oberperfuss,2020,2,1
Innsbruck-Land,Oberperfuss,2020,3,0
Innsbruck-Land,Oberperfuss,2020,4,0
Innsbruck-Land,Oberperfuss,2020,5,0
Innsbruck-Land,Oberperfuss,2020,6,0
Innsbruck-Land,Oberperfuss,2020,7,1
Innsbruck-Land,Oberperfuss,2020,8,1
Innsbruck-Land,Oberperfuss,2020,9,3
Innsbruck-Land,Oberperfuss,2020,10,0
Innsbruck-Land,Oberperfuss,2020,11,0
Innsbruck-Land,Oberperfuss,2020,12,0
Innsbruck-Land,Oberperfuss,2020,13,0
Innsbruck-Land,Oberperfuss,2020,14,0
Innsbruck-Land,Oberperfuss,2020,15,0
Innsbruck-Land,Oberperfuss,2020,16,0
Innsbruck-Land,Oberperfuss,2020,17,0
Innsbruck-Land,Oberperfuss,2020,18,0
Innsbruck-Land,Oberperfuss,2020,19,1
Innsbruck-Land,Oberperfuss,2020,20,0
Innsbruck-Land,Oberperfuss,2020,21,1
Innsbruck-Land,Oberperfuss,2020,22,0
Innsbruck-Land,Oberperfuss,2020,23,0
Innsbruck-Land,Oberperfuss,2020,24,0
Innsbruck-Land,Oberperfuss,2020,25,0
Innsbruck-Land,Oberperfuss,2020,26,0
Innsbruck-Land,Oberperfuss,2020,27,0
Innsbruck-Land,Oberperfuss,2020,28,0
Innsbruck-Land,Oberperfuss,2020,29,0
Innsbruck-Land,Oberperfuss,2020,30,0
Innsbruck-Land,Oberperfuss,2020,31,0
Innsbruck-Land,Oberperfuss,2020,32,0
Innsbruck-Land,Oberperfuss,2020,33,0
Innsbruck-Land,Oberperfuss,2020,34,0
Innsbruck-Land,Oberperfuss,2020,35,0
Innsbruck-Land,Oberperfuss,2020,36,0
Innsbruck-Land,Oberperfuss,2020,37,0
Innsbruck-Land,Oberperfuss,2020,38,0
Innsbruck-Land,Oberperfuss,2020,39,0
Innsbruck-Land,Oberperfuss,2020,40,0
Innsbruck-Land,Oberperfuss,2020,41,0
Innsbruck-Land,Oberperfuss,2020,42,0
Innsbruck-Land,Oberperfuss,2020,43,0
Innsbruck-Land,Oberperfuss,2020,44,0
Innsbruck-Land,Oberperfuss,2020,45,0
Innsbruck-Land,Oberperfuss,2020,46,0
Innsbruck-Land,Oberperfuss,2020,47,0
Innsbruck-Land,Oberperfuss,2020,48,0
Innsbruck-Land,Oberperfuss,2020,49,0
