district,municipaly,year,week,count,yearly_max_diff,yearly_mean_diff,weekly_max_diff,weekly_mean_diff
Kufstein,Langkampfen,2020,1,0,0,0,0,0
Kufstein,Langkampfen,2020,2,0,0,0,0,0
Kufstein,Langkampfen,2020,3,1,0,0.0028353057,0,0.6666666667
Kufstein,Langkampfen,2020,4,0,0,0,0,0
Kufstein,Langkampfen,2020,5,2,0,0.0092455621,0.6666666667,2
Kufstein,Langkampfen,2020,6,1,0,0.0028353057,0,0
Kufstein,Langkampfen,2020,7,2,0,0.0092455621,1,1.6666666667
Kufstein,Langkampfen,2020,8,1,0,0.0028353057,0,0.6666666667
Kufstein,Langkampfen,2020,9,0,0,0,0,0
Kufstein,Langkampfen,2020,10,0,0,0,0,0
Kufstein,Langkampfen,2020,11,1,0,0.0028353057,0,0.1666666667
Kufstein,Langkampfen,2020,12,0,0,0,0,0
Kufstein,Langkampfen,2020,13,0,0,0,0,0
Kufstein,Langkampfen,2020,14,2,0,0.0092455621,1,1.6666666667
Kufstein,Langkampfen,2020,15,0,0,0,0,0
Kufstein,Langkampfen,2020,16,2,0,0.0092455621,1,1.6666666667
Kufstein,Langkampfen,2020,17,0,0,0,0,0
Kufstein,Langkampfen,2020,18,1,0,0.0028353057,0,0.3333333333
Kufstein,Langkampfen,2020,19,0,0,0,0,0
Kufstein,Langkampfen,2020,20,1,0,0.0028353057,0,0
Kufstein,Langkampfen,2020,21,0,0,0,0,0
Kufstein,Langkampfen,2020,22,0,0,0,0,0
Kufstein,Langkampfen,2020,23,0,0,0,0,0
Kufstein,Langkampfen,2020,24,0,0,0,0,0
Kufstein,Langkampfen,2020,25,1,0,0.0028353057,0.3333333333,1
Kufstein,Langkampfen,2020,26,0,0,0,0,0
Kufstein,Langkampfen,2020,27,1,0,0.0028353057,0,0.1666666667
Kufstein,Langkampfen,2020,28,0,0,0,0,0
Kufstein,Langkampfen,2020,29,0,0,0,0,0
Kufstein,Langkampfen,2020,30,1,0,0.0028353057,0,0.6666666667
Kufstein,Langkampfen,2020,31,2,0,0.0092455621,0.5,1.3333333333
Kufstein,Langkampfen,2020,32,1,0,0.0028353057,0,0.6666666667
Kufstein,Langkampfen,2020,33,0,0,0,0,0
Kufstein,Langkampfen,2020,34,0,0,0,0,0
Kufstein,Langkampfen,2020,35,0,0,0,0,0
Kufstein,Langkampfen,2020,36,1,0,0.0028353057,0,0.1666666667
Kufstein,Langkampfen,2020,37,1,0,0.0028353057,0,0.6666666667
Kufstein,Langkampfen,2020,38,0,0,0,0,0
Kufstein,Langkampfen,2020,39,0,0,0,0,0
Kufstein,Langkampfen,2020,40,0,0,0,0,0
Kufstein,Langkampfen,2020,41,0,0,0,0,0
Kufstein,Langkampfen,2020,42,0,0,0,0,0
Kufstein,Langkampfen,2020,43,0,0,0,0,0
Kufstein,Langkampfen,2020,44,0,0,0,0,0
Kufstein,Langkampfen,2020,45,1,0,0.0028353057,0,0
Kufstein,Langkampfen,2020,46,1,0,0.0028353057,0,0.6666666667
Kufstein,Langkampfen,2020,47,2,0,0.0092455621,0,0.3333333333
Kufstein,Langkampfen,2020,48,0,0,0,0,0
Kufstein,Langkampfen,2020,49,1,0,0.0028353057,0,0.6666666667
Kufstein,Langkampfen,2020,50,0,0,0,0,0
Kufstein,Langkampfen,2020,51,1,0,0.0028353057,0,0.1666666667
Kufstein,Langkampfen,2020,52,1,0,0.0028353057,0,0.6666666667
Kufstein,Kramsach,2020,1,0,0,0,0,0
Kufstein,Kramsach,2020,2,2,0,0.008382643,0,0.3333333333
Kufstein,Kramsach,2020,3,1,0,0.0019723866,0,0.3333333333
Kufstein,Kramsach,2020,4,0,0,0,0,0
Kufstein,Kramsach,2020,5,1,0,0.0019723866,0.3333333333,1
Kufstein,Kramsach,2020,6,0,0,0,0,0
Kufstein,Kramsach,2020,7,1,0,0.0019723866,0.3333333333,1
Kufstein,Kramsach,2020,8,1,0,0.0019723866,0,0
Kufstein,Kramsach,2020,9,3,0,0.0147928994,0,0.5555555556
Kufstein,Kramsach,2020,10,2,0,0.008382643,0.5,1.3333333333
Kufstein,Kramsach,2020,11,0,0,0,0,0
Kufstein,Kramsach,2020,12,0,0,0,0,0
Kufstein,Kramsach,2020,13,0,0,0,0,0
Kufstein,Kramsach,2020,14,1,0,0.0019723866,0,0
Kufstein,Kramsach,2020,15,0,0,0,0,0
Kufstein,Kramsach,2020,16,0,0,0,0,0
Kufstein,Kramsach,2020,17,0,0,0,0,0
Kufstein,Kramsach,2020,18,1,0,0.0019723866,0,0.6666666667
Kufstein,Kramsach,2020,19,0,0,0,0,0
Kufstein,Kramsach,2020,20,3,0,0.0147928994,1,3
Kufstein,Kramsach,2020,21,1,0,0.0019723866,0,0.3333333333
Kufstein,Kramsach,2020,22,0,0,0,0,0
Kufstein,Kramsach,2020,23,1,0,0.0019723866,0,0
Kufstein,Kramsach,2020,24,1,0,0.0019723866,0.3333333333,1
Kufstein,Kramsach,2020,25,0,0,0,0,0
Kufstein,Kramsach,2020,26,0,0,0,0,0
Kufstein,Kramsach,2020,27,1,0,0.0019723866,0,0.3333333333
Kufstein,Kramsach,2020,28,1,0,0.0019723866,0,0.3333333333
Kufstein,Kramsach,2020,29,1,0,0.0019723866,0,0.6666666667
Kufstein,Kramsach,2020,30,0,0,0,0,0
Kufstein,Kramsach,2020,31,1,0,0.0019723866,0,0.1666666667
Kufstein,Kramsach,2020,32,0,0,0,0,0
Kufstein,Kramsach,2020,33,0,0,0,0,0
Kufstein,Kramsach,2020,34,1,0,0.0019723866,0,0
Kufstein,Kramsach,2020,35,1,0,0.0019723866,0,0
Kufstein,Kramsach,2020,36,1,0,0.0019723866,0,0.6666666667
Kufstein,Kramsach,2020,37,0,0,0,0,0
Kufstein,Kramsach,2020,38,2,0,0.008382643,0,0.2222222222
Kufstein,Kramsach,2020,39,0,0,0,0,0
Kufstein,Kramsach,2020,40,0,0,0,0,0
Kufstein,Kramsach,2020,41,0,0,0,0,0
Kufstein,Kramsach,2020,42,2,0,0.008382643,1,1.6666666667
Kufstein,Kramsach,2020,43,1,0,0.0019723866,0,0.6666666667
Kufstein,Kramsach,2020,44,1,0,0.0019723866,0,0
Kufstein,Kramsach,2020,45,1,0,0.0019723866,0,0.1666666667
Kufstein,Kramsach,2020,46,2,0,0.008382643,0,0
Kufstein,Kramsach,2020,47,2,0,0.008382643,0.3333333333,1
Kufstein,Kramsach,2020,48,3,0,0.0147928994,0.5,0.6666666667
Kufstein,Kramsach,2020,49,2,0,0.008382643,1,1.6666666667
Kufstein,Kramsach,2020,50,1,0,0.0019723866,0,0.6666666667
Kufstein,Kramsach,2020,51,0,0,0,0,0
Kufstein,Kramsach,2020,52,1,0,0.0019723866,0,0.6666666667
