district,municipaly,year,week,outlier_score
Kitzbühel,Jochberg,2020,12,0.05289553850889206
Imst,Längenfeld,2020,13,0.05289553850889206
Imst,Nassereith,2020,14,0.05289553850889206
Reutte,Steeg,2020,9,0.05289553850889206
Reutte,Elbigenalp,2020,10,0.05289553850889206
Reutte,Namlos,2020,11,0.05289553850889206
Landeck,Fiss,2020,15,0.05289553850889206
Landeck,Spiss,2020,16,0.05289553850889206
Innsbruck-Land,Matrei am Brenner,2020,17,0.05289553850889206
Innsbruck-Land,Flaurling,2020,1,0.9975306987762451
Innsbruck-Land,Grinzens,2020,2,0.05289553850889206
Innsbruck-Land,Polling in Tirol,2020,3,0.05289553850889206
Schwaz,Hainzenberg,2020,4,0.05289553850889206
Schwaz,Buch in Tirol,2020,5,0.05289553850889206
Kufstein,Erl,2020,6,0.05289553850889206
Kufstein,Wörgl,2020,7,0.05289553850889206
Lienz,Oberlienz,2020,8,0.05289553850889206
Lienz,Nikolsdorf,2020,9,0.05289553850889206
Lienz,Schlaiten,2020,10,0.05289553850889206
Kitzbühel,Jochberg,2020,9,0.05289553850889206
Imst,Längenfeld,2020,10,0.05289553850889206
Imst,Nassereith,2020,11,0.05289553850889206
Reutte,Steeg,2020,6,0.05289553850889206
Reutte,Elbigenalp,2020,7,0.05289553850889206
Reutte,Namlos,2020,8,0.05289553850889206
Landeck,Fiss,2020,12,0.05289553850889206
Landeck,Spiss,2020,13,0.05289553850889206
Innsbruck-Land,Matrei am Brenner,2020,14,0.05289553850889206
Innsbruck-Land,Götzens,2020,15,0.05289553850889206
Innsbruck-Land,Ellbögen,2020,16,0.05289553850889206
Innsbruck-Land,Aldrans,2020,17,0.05289553850889206
Schwaz,Hainzenberg,2020,1,0.05289553850889206
Schwaz,Buch in Tirol,2020,2,0.05289553850889206
Kufstein,Erl,2020,3,0.05289553850889206
Kufstein,Wörgl,2020,4,0.05289553850889206
Lienz,Oberlienz,2020,5,0.9971389174461365
Lienz,Nikolsdorf,2020,6,0.05289553850889206
Lienz,Schlaiten,2020,7,0.05289553850889206
Kitzbühel,Jochberg,2020,10,0.05289553850889206
Imst,Längenfeld,2020,11,0.05289553850889206
Imst,Nassereith,2020,12,0.05289553850889206
Reutte,Steeg,2020,7,0.05289553850889206
Reutte,Elbigenalp,2020,8,0.05289553850889206
Reutte,Namlos,2020,9,0.05289553850889206
Landeck,Fiss,2020,13,0.05289553850889206
Landeck,Spiss,2020,14,0.05289553850889206
Innsbruck-Land,Matrei am Brenner,2020,15,0.05289553850889206
Innsbruck-Land,Götzens,2020,16,0.05289553850889206
Innsbruck-Land,Ellbögen,2020,17,0.05289553850889206
Innsbruck-Land,Polling in Tirol,2020,1,0.05289553850889206
Schwaz,Hainzenberg,2020,2,0.05289553850889206
Schwaz,Buch in Tirol,2020,3,0.05289553850889206
Kufstein,Erl,2020,4,0.05289553850889206
Kufstein,Wörgl,2020,5,0.05289553850889206
Lienz,Oberlienz,2020,6,0.05289553850889206
Lienz,Nikolsdorf,2020,7,0.05289553850889206
Lienz,Schlaiten,2020,8,0.05289553850889206
Kitzbühel,Jochberg,2020,11,0.05289553850889206
Imst,Längenfeld,2020,12,0.05289553850889206
Imst,Nassereith,2020,13,0.05289553850889206
Reutte,Steeg,2020,8,0.05289553850889206
Reutte,Elbigenalp,2020,9,0.05289553850889206
Reutte,Namlos,2020,10,0.05289553850889206
Landeck,Fiss,2020,14,0.05289553850889206
Landeck,Spiss,2020,15,0.05289553850889206
Innsbruck-Land,Matrei am Brenner,2020,16,0.05289553850889206
Innsbruck-Land,Götzens,2020,17,0.05289553850889206
Innsbruck-Land,Grinzens,2020,1,0.05289553850889206
Innsbruck-Land,Polling in Tirol,2020,2,0.05289553850889206
